type,label,label option,alias,Visual effects and style,occasion tag,user label tag ,target tag,reference url
ALL,PATTERN,Light Indigo Wash,,,,,,
ALL,PATTERN,Medium Indigo Wash,,,,,,
ALL,PATTERN,Dark Indigo Wash,,,,,,
ALL,PATTERN,Bleach Indigo Wash,,,,,,
ALL,PATTERN,Plaid,,,,,,
ALL,PATTERN,Dusty,,,,,,
ALL,PATTERN,Graphic,,,,,,
ALL,PATTERN,Color Block,,,,,,
ALL,TRENDS,Athleisure,Activewear,,,,,
ALL,TRENDS,Cottagecore Aesthetic,,,,,,
ALL,TRENDS,Y2K Revival,,,,,,
ALL,TRENDS,Sustainability,Ethical Fashion,,,,,
ALL,TRENDS,Regency-era Influences,,,,,,
ALL,TRENDS,Wide-legged,Baggy Pants,,,,,
ALL,TRENDS,Pastel Colors,,,,,,
ALL,TRENDS,Gender-fluid,Non-binary Fashion,,,,,
ALL,TRENDS,Bold Shoulder Silhouettes,,,,,,
ALL,TRENDS,Virtual and Digital Fashion,,,,,,
ALL,TRENDS,Monochromatic Outfits,,,,,,
ALL,TRENDS,Chunky Footwear,,,,,,
ALL,TRENDS,Sheer and Mesh Fabrics,,,,,,
ALL,TRENDS,Fantasy/2D,,,,,,
ALL,TRENDS,Tassels,,,,,,
ALL,TRENDS,Bow,,,,,,
ALL,TRENDS,Asymmetry,,,,,,
ALL,TRENDS,Backless,,,,,,
ALL,TRENDS,Strap,,,,,,
ALL,TRENDS,Navel exposed,,,,,,
ALL,TRENDS,Hollowed out,,,,,,
ALL,TRENDS,Slits,,,,,,
ALL,TRENDS,Off-shoulder,,,,,,
ALL,TRENDS,Feathers,,,,,,
ALL,TRENDS,Tomato-Girl Summer,,,,,,
ALL,TRENDS,Mermaid-core,,,,,,
ALL,TRENDS,Barbie-core,,,,,,
ALL,TRENDS,Ballet-core,,,,,,
ALL,TRENDS,None,,,,,,
ALL,TRENDS,Urban,,,,,,
ALL,PROCESS,Crochet,,,,,,
ALL,PROCESS,Embroidery,,,,,,
ALL,PROCESS,Wrinkle,,,,,,
ALL,PROCESS,Flocking,,,,,,
ALL,PROCESS,Tie dyeing,,,,,,
ALL,PROCESS,Splicing,,,,,,
ALL,PROCESS,Laser cutting,,,,,,
ALL,PROCESS,Ripped,,,,,,
ALL,PROCESS,Raw Edge,,,,,,
ALL,OCCASION,Casual Day Out,,,,,,
ALL,OCCASION,Vacations/Travel,,,,,,
ALL,OCCASION,Weddings,,,,,,
ALL,OCCASION,Work/Job Interviews,,,,,,
ALL,OCCASION,Photoshoots/Headshots,,,,,,
ALL,OCCASION,Milestones (graduation/retirement/promotions parties),,,,,,
ALL,OCCASION,Galas/Fundraisers/Red Carpet Events,,,,,,
ALL,OCCASION,Date Night,,,,,,
ALL,OCCASION,A Night Out,,,,,,
ALL,OCCASION,Gym/Workout,,,,,,
ALL,OCCASION,Outdoor Activity,,,,,,
ALL,OCCASION,Festival/Concert,,,,,,
ALL,OCCASION,Pregnancy & Post-Pregnancy,,,,,,
ALL,LOCATION,City,Urban,,,,,
ALL,LOCATION,Country,,,,,,
ALL,LOCATION,Beach,,,,,,
ALL,LOCATION,Mountains,,,,,,
ALL,LOCATION,Desert,,,,,,
ALL,LOCATION,All,,,,,,
ALL,STYLE,Classic,,,,,,
ALL,STYLE,Bohemian (Boho),,,,,,
ALL,STYLE,Preppy,,,,,,
ALL,STYLE,Grunge,,,,,,
ALL,STYLE,Romantic,,,,,,
ALL,STYLE,Glam,,,,,,
ALL,STYLE,Trendy,,,,,,
ALL,STYLE,Vintage,Retro,,,,,
ALL,STYLE,Edgy,,,,,,
ALL,STYLE,Minimalist,,,,,,
ALL,STYLE,Active,,,,,,
ALL,SEASON,Spring,,,,,,
ALL,SEASON,Summer,,,,,,
ALL,SEASON,Fall,Autumn,,,,,
ALL,SEASON,Winter,,,,,,
ALL,SEASON,All,,,,,,
JEWELRY,Type,Necklaces,,,,,,
JEWELRY,Type,Bracelets,,,,,,
JEWELRY,Type,Earrings,,,,,,
JEWELRY,Type,Rings,,,,,,
JEWELRY,Type,Brooches,Pins,,,,,
JEWELRY,Type,Anklets,,,,,,
JEWELRY,Type,Cufflinks,,,,,,
JEWELRY,Type,Toe rings,,,,,,
JEWELRY,Type,Nose rings,,,,,,
JEWELRY,Type,Belly Rings,,,,,,
SHOES,Type,Ballet Flats,Flats,,,,,
SHOES,Type,Pumps,,,,,,
SHOES,Type,Stilettos,Heels,,,,,
SHOES,Type,Wedges,,,,,,
SHOES,Type,Platforms,,,,,,
SHOES,Type,Espadrilles,,,,,,
SHOES,Type,Slingbacks,,,,,,
SHOES,Type,Mules,,,,,,
SHOES,Type,Loafers,,,,,,
SHOES,Type,Oxfords (or Brogues),,,,,,
SHOES,Type,Sandals,,,,,,
SHOES,Type,Gladiator Sandals,,,,,,
SHOES,Type,Ankle Boots,,,,,,
SHOES,Type,Knee-High Boots,,,,,,
SHOES,Type,Over-the-Knee Boots,,,,,,
SHOES,Type,Chelsea Boots,,,,,,
SHOES,Type,Platform Shoes,,,,,,
SHOES,Type,Mary Janes,,,,,,
SHOES,Type,Peep-Toe Shoes,,,,,,
SHOES,Type,D'Orsay Flats,,,,,,
SHOES,Type,Chunky Heels,,,,,,
SHOES,Type,Kitten Heels,,,,,,
SHOES,Type,Clogs,,,,,,
SHOES,Type,Flip Flops,,,,,,
SHOES,Type,Sneakers,,,,,,
SHOES,Type,Cross-trainers,,,,,,
SHOES,Type,Slip-Ons,,,,,,
SHOES,STYLE,Formal,,,,,,
SHOES,STYLE,Casual,,,,,,
SHOES,STYLE,Athletic,,,,,,
SHOES,STYLE,Boots,,,,,,
SHOES,STYLE,Seaonal,,,,,,
SHOES,FASTENER,Laces,,,,,,
SHOES,FASTENER,Velcro (Hook and Loop) Straps,,,,,,
SHOES,FASTENER,Buckles,,,,,,
SHOES,FASTENER,Zippers,,,,,,
SHOES,FASTENER,Elastic (Goring or Elastic Laces),,,,,,
SHOES,FASTENER,Slip-On,,,,,,
SHOES,FASTENER,Button Closure,,,,,,
SHOES,FASTENER,Toggle Fastening,,,,,,
SHOES,FASTENER,Hooks & Eyelets,,,,,,
SHOES,FASTENER,Ribbon Ties,,,,,,
SHOES,FASTENER,Ankle Wraps or Ties,,,,,,
SHOES,FASTENER,Cage or Gladiator Style,,,,,,
SHOES,FASTENER,T-Bar or T-Strap,,,,,,
SNEAKERS,COVER,Pointed,,,,,,
SNEAKERS,COVER,Round,,,,,,
SNEAKERS,COVER,Flat,,,,,,
SNEAKERS,NECK,Low,,,,,,
SNEAKERS,NECK,Mid,,,,,,
SNEAKERS,NECK,High,,,,,,
SNEAKERS,SOLE,Flat,,,,,,
SNEAKERS,SOLE,Grip,,,,,,
SNEAKERS,SOLE,Chunky,,,,,,
SHOE,TOE BOX,Round Toe,,,,,,
SHOE,TOE BOX,Pointed Toe,,,,,,
SHOE,TOE BOX,Square Toe,,,,,,
SHOE,TOE BOX,Almond Toe,,,,,,
SHOE,TOE BOX,Peep Toe,,,,,,
SHOE,TOE BOX,Open Toe,,,,,,
SHOE,TOE BOX,Cap Toe,,,,,,
SHOE,TOE BOX,Moc Toe,,,,,,
SHOE,TOE BOX,Steel Toe,,,,,,
SHOE,TOE BOX,Wingtip,,,,,,
SHOE,TOE BOX,Broad Toe,,,,,,
SHOE,TOE BOX,Snip Toe,,,,,,
DRESS SHOE,Heel,Stiletto,,,,,,
DRESS SHOE,Heel,Kitten,,,,,,
DRESS SHOE,Heel,Block,,,,,,
DRESS SHOE,Heel,Wedge,,,,,,
DRESS SHOE,Heel,Cone,,,,,,
DRESS SHOE,Heel,Spool or Louis Heel,,,,,,
DRESS SHOE,Heel,Platform,,,,,,
DRESS SHOE,Heel,Slingback,,,,,,
DRESS SHOE,Heel,Ankle Strap,,,,,,
DRESS SHOE,Heel,Espadrille,,,,,,
DRESS SHOE,Heel,Chunky,,,,,,
DRESS SHOE,Heel,Sculptural,,,,,,
